ROW,Dimension.DATE,Dimension.ADVERTISER_ID,Dimension.ADVERTISER_NAME,Dimension.ORDER_NAME,Dimension.LINE_ITEM_ID,Dimension.LINE_ITEM_NAME,Dimension.LINE_ITEM_TYPE,Dimension.CREATIVE_NAME,Dimension.CREATIVE_TYPE,Dimension.CREATIVE_SIZE,Dimension.MASTER_COMPANION_CREATIVE_ID,Dimension.MASTER_COMPANION_CREATIVE_NAME,Dimension.AD_UNIT_NAME,Dimension.ORDER_ID,Dimension.CREATIVE_ID,Dimension.AD_UNIT_ID,DimensionAttribute.LINE_ITEM_GOAL_QUANTITY,DimensionAttribute.LINE_ITEM_START_DATE_TIME,DimensionAttribute.LINE_ITEM_END_DATE_TIME,DimensionAttribute.LINE_ITEM_CONTRACTED_QUANTITY,DimensionAttribute.LINE_ITEM_SPONSORSHIP_GOAL_PERCENTAGE,DimensionAttribute.CREATIVE_CLICK_THROUGH_URL,DimensionAttribute.MASTER_COMPANION_TYPE,DimensionAttribute.CREATIVE_OR_CREATIVE_SET,Column.AD_SERVER_ALL_REVENUE,Column.AD_SERVER_CLICKS,Column.AD_SERVER_CPD_REVENUE,Column.AD_SERVER_CPM_AND_CPC_REVENUE,Column.AD_SERVER_IMPRESSIONS,Column.VIDEO_VIEWERSHIP_AUTO_PLAYS,Column.VIDEO_VIEWERSHIP_CLICK_TO_PLAYS,Column.VIDEO_VIEWERSHIP_COMPLETE,Column.VIDEO_VIEWERSHIP_FIRST_QUARTILE,Column.VIDEO_VIEWERSHIP_MIDPOINT,Column.VIDEO_VIEWERSHIP_START,Column.VIDEO_VIEWERSHIP_THIRD_QUARTILE,Column.VIDEO_VIEWERSHIP_VIDEO_LENGTH,Column.TOTAL_INVENTORY_LEVEL_ALL_REVENUE,Column.TOTAL_INVENTORY_LEVEL_CLICKS,Column.TOTAL_INVENTORY_LEVEL_CPM_AND_CPC_REVENUE,Column.TOTAL_INVENTORY_LEVEL_IMPRESSIONS,Column.TOTAL_LINE_ITEM_LEVEL_ALL_REVENUE,Column.TOTAL_LINE_ITEM_LEVEL_CLICKS,Column.TOTAL_LINE_ITEM_LEVEL_CPM_AND_CPC_REVENUE
102548119667364157873---751815071_2018-05-07_10,2018-05-07,751815071,Woolworths Ltd Head Office,Woolworths Ltd Head Office - Test order,4665588444,kidspot.com.au things to do CPM - billboard halfpage roadb (254708),SPONSORSHIP,728x90 + 300x600 + 970x250 Desktop Billboard_Kidspot_Things to do_V1_May 7th,Third-party,728 x 90,138232508289,728x90 Woolworths Ltd Head Office kidspot.com.au things to do CPM - billboard halfpage roadb (254708),Kidspot,355857671,717199570,311684951,390,2018-05-07T15:53:00+10:00,2019-05-31T23:59:00+10:00,-,100,-,Master,Creative set,0,0,0,0,4,0,0,-,-,-,-,-,-,0,0,0,4,0,0,0
102548119667364157873---751815071_2018-05-07_11,2018-05-07,751815071,Woolworths Ltd Head Office,Woolworths Ltd Head Office - Test order,4665588444,kidspot.com.au things to do CPM - billboard halfpage roadb (254708),SPONSORSHIP,728x90 + 300x600 + 970x250 Desktop Billboard_Kidspot_Things to do_V1_May 7th,Third-party,970 x 250,138232508295,970x250 Woolworths Ltd Head Office kidspot.com.au things to do CPM - billboard halfpage roadb (254708),Kidspot,355857671,717199570,311684951,390,2018-05-07T15:53:00+10:00,2019-05-31T23:59:00+10:00,-,100,-,Companion,Creative set,0,1,0,0,4,0,0,-,-,-,-,-,-,0,1,0,0,0,1,0
102548119667364157873---751815071_2018-05-07_12,2018-05-07,751815071,Woolworths Ltd Head Office,Woolworths Ltd Head Office - Test order,4665588900,kidspot.com.au homepage sponsorship CPD - billboard sticky skins halfpage roadb (254703),SPONSORSHIP,728x90 + 300x600 + 970x250 Desktop Billboard + 250x1050 Sticky skin_Kidspot_Homepage_V1_May 7th,Third-party,300 x 600,138232507737,300x600 Woolworths Ltd Head Office kidspot.com.au homepage sponsorship CPD - billboard sticky skins halfpage roadb (254703),Kidspot,355857671,717199573,311684951,390,2018-05-07T16:04:00+10:00,2019-05-31T23:59:00+10:00,-,100,-,Companion,Creative set,0,0,0,0,3,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
102548119667364157873---751815071_2018-05-07_13,2018-05-07,751815071,Woolworths Ltd Head Office,Woolworths Ltd Head Office - Test order,4665588900,kidspot.com.au homepage sponsorship CPD - billboard sticky skins halfpage roadb (254703),SPONSORSHIP,728x90 + 300x600 + 970x250 Desktop Billboard + 250x1050 Sticky skin_Kidspot_Homepage_V1_May 7th,Third-party,728 x 90,138232507734,728x90 Woolworths Ltd Head Office kidspot.com.au homepage sponsorship CPD - billboard sticky skins halfpage roadb (254703),Kidspot,355857671,717199573,311684951,390,2018-05-07T16:04:00+10:00,2019-05-31T23:59:00+10:00,-,100,-,Master,Creative set,0,0,0,0,3,0,0,-,-,-,-,-,-,0,0,0,3,0,0,0
102548119667364157873---751815071_2018-05-07_14,2018-05-07,751815071,Woolworths Ltd Head Office,Woolworths Ltd Head Office - Test order,4665588900,kidspot.com.au homepage sponsorship CPD - billboard sticky skins halfpage roadb (254703),SPONSORSHIP,728x90 + 300x600 + 970x250 Desktop Billboard + 250x1050 Sticky skin_Kidspot_Homepage_V1_May 7th,Third-party,970 x 250,138232507740,970x250 Woolworths Ltd Head Office kidspot.com.au homepage sponsorship CPD - billboard sticky skins halfpage roadb (254703),Kidspot,355857671,717199573,311684951,390,2018-05-07T16:04:00+10:00,2019-05-31T23:59:00+10:00,-,100,-,Companion,Creative set,0,0,0,0,3,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
102548119667364157873---751815071_2018-05-07_15,2018-05-07,751815071,Woolworths Ltd Head Office,WWW - Food Co. Desktop (131157),4610563892,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),STANDARD,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Third-party,300 x 600,138230331327,300x600 Woolworths Ltd Head Office Run of viewability guaranteed CPM - halfpage roadb ATP (249148),AdelaideNow,2265591090,717074309,168399431,337338,2018-04-23T00:00:00+10:00,2018-05-27T23:59:59+10:00,-,-,-,Companion,Creative set,0,0,0,0,110,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
102548119667364157873---751815071_2018-05-07_16,2018-05-07,751815071,Woolworths Ltd Head Office,WWW - Food Co. Desktop (131157),4610563892,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),STANDARD,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Third-party,300 x 600,138230331327,300x600 Woolworths Ltd Head Office Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Daily Telegraph,2265591090,717074309,168399911,337338,2018-04-23T00:00:00+10:00,2018-05-27T23:59:59+10:00,-,-,-,Companion,Creative set,0,0,0,0,55,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
102548119667364157873---751815071_2018-05-07_17,2018-05-07,751815071,Woolworths Ltd Head Office,WWW - Food Co. Desktop (131157),4610563892,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),STANDARD,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Third-party,300 x 600,138230331327,300x600 Woolworths Ltd Head Office Run of viewability guaranteed CPM - halfpage roadb ATP (249148),NEWS.com.au/Travel,2265591090,717074309,168400031,337338,2018-04-23T00:00:00+10:00,2018-05-27T23:59:59+10:00,-,-,-,Companion,Creative set,0,1,0,0,213,0,0,-,-,-,-,-,-,0,1,0,0,0,1,0
102548119667364157873---751815071_2018-05-07_18,2018-05-07,751815071,Woolworths Ltd Head Office,WWW - Food Co. Desktop (131157),4610563892,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),STANDARD,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Third-party,300 x 600,138230331327,300x600 Woolworths Ltd Head Office Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Gold Coast Bulletin,2265591090,717074309,168400151,337338,2018-04-23T00:00:00+10:00,2018-05-27T23:59:59+10:00,-,-,-,Companion,Creative set,0,1,0,0,86,0,0,-,-,-,-,-,-,0,1,0,0,0,1,0
102548119667364157873---751815071_2018-05-07_19,2018-05-07,751815071,Woolworths Ltd Head Office,WWW - Food Co. Desktop (131157),4610563892,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),STANDARD,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Third-party,300 x 600,138230331327,300x600 Woolworths Ltd Head Office Run of viewability guaranteed CPM - halfpage roadb ATP (249148),The Geelong Advertiser,2265591090,717074309,168400271,337338,2018-04-23T00:00:00+10:00,2018-05-27T23:59:59+10:00,-,-,-,Companion,Creative set,0,0,0,0,66,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
102548119667364157873---751815071_2018-05-07_20,2018-05-07,751815071,Woolworths Ltd Head Office,WWW - Food Co. Desktop (131157),4610563892,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),STANDARD,Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Third-party,300 x 600,138230331327,300x600 Woolworths Ltd Head Office Run of viewability guaranteed CPM - halfpage roadb ATP (249148),Herald Sun,2265591090,717074309,168400391,337338,2018-04-23T00:00:00+10:00,2018-05-27T23:59:59+10:00,-,-,-,Companion,Creative set,0,0,0,0,378,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
